,name,company_number,jurisdiction_code,incorporation_date,dissolution_date,company_type,registry_url,branch,branch_status,inactive,current_status,created_at,updated_at,retrieved_at,opencorporates_url,previous_names,alternative_names,source,registered_address,registered_address_in_full,industry_codes,restricted_for_marketing,native_company_number
11,"""7 - 2 - 14, Inc.""",000-789-616,us_al,1961-10-31,1965-05-31,Domestic Corporation,http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000789616,,,True,Dissolved,2021-01-29T19:21:10+00:00,2024-08-18T04:00:56+00:00,2024-08-17T15:31:49+00:00,https://opencorporates.com/companies/us_al/000-789-616,[],[],"{'publisher': 'Alabama Secretary of State', 'url': 'http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000789616', 'retrieved_at': '2024-08-17T15:31:49+00:00'}",,,[],,
12,"""77"" Tire & Oil Co., Inc.",000-791-232,us_al,1931-07-25,,Domestic Corporation,http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000791232,,,False,Exists,2021-01-29T19:45:55+00:00,2024-08-18T04:08:18+00:00,2024-08-17T17:03:08+00:00,https://opencorporates.com/companies/us_al/000-791-232,[],[],"{'publisher': 'Alabama Secretary of State', 'url': 'http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000791232', 'retrieved_at': '2024-08-17T17:03:08+00:00'}",,,[],,
13,"""78 Skateway"" Skating Rink Company, Inc.",000-791-238,us_al,1965-07-15,1984-11-08,Domestic Corporation,http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000791238,,,True,Dissolved,2021-01-29T19:46:07+00:00,2024-08-18T03:58:58+00:00,2024-08-17T17:03:29+00:00,https://opencorporates.com/companies/us_al/000-791-238,[],[],"{'publisher': 'Alabama Secretary of State', 'url': 'http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000791238', 'retrieved_at': '2024-08-17T17:03:29+00:00'}",,,[],,
14,"""7K"" Logging, Inc.",000-141-429,us_al,1991-01-31,,Domestic Corporation,http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000141429,,,False,Exists,2014-08-30T21:32:02+00:00,2024-05-09T02:25:38+00:00,2024-05-08T08:44:10+00:00,https://opencorporates.com/companies/us_al/000-141-429,[],[],"{'publisher': 'Alabama Secretary of State', 'url': 'http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000141429', 'retrieved_at': '2024-05-08T08:44:10+00:00'}",,,[],,
15,"""8"" Point Hunting Club, Inc.",000-550-515,us_al,1998-06-30,,Domestic Non-Profit Corporation,http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000550515,,,False,Exists,2015-06-11T12:06:45+00:00,2024-07-08T04:49:51+00:00,2024-07-07T17:07:39+00:00,https://opencorporates.com/companies/us_al/000-550-515,[],[],"{'publisher': 'Alabama Secretary of State', 'url': 'http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000550515', 'retrieved_at': '2024-07-07T17:07:39+00:00'}",,,[],,
16,"""A Shining Star""",000-287-385,us_al,2013-09-12,2014-11-19,Domestic Non-Profit Corporation,http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000287385,,,True,Dissolved,2014-08-31T02:08:20+00:00,2024-06-01T05:22:25+00:00,2024-05-31T16:12:01+00:00,https://opencorporates.com/companies/us_al/000-287-385,[],[],"{'publisher': 'Alabama Secretary of State', 'url': 'http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000287385', 'retrieved_at': '2024-05-31T16:12:01+00:00'}",,,[],,
17,"""A Suttle Event"" L.L.C.",000-292-044,us_al,2013-12-02,2016-07-25,Domestic Limited Liability Company,http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000292044,,,True,Dissolved,2014-08-31T02:32:30+00:00,2024-06-04T05:26:43+00:00,2024-06-03T10:24:05+00:00,https://opencorporates.com/companies/us_al/000-292-044,[],[],"{'publisher': 'Alabama Secretary of State', 'url': 'http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000292044', 'retrieved_at': '2024-06-03T10:24:05+00:00'}",,,[],,
18,"""A to Z, LLC""",000-051-195,us_al,2012-04-19,2018-04-19,Domestic Limited Liability Company,http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000051195,,,True,Dissolved,2015-06-19T15:53:25+00:00,2024-04-28T01:42:21+00:00,2024-04-27T14:24:31+00:00,https://opencorporates.com/companies/us_al/000-051-195,[],[],"{'publisher': 'Alabama Secretary of State', 'url': 'http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000051195', 'retrieved_at': '2024-04-27T14:24:31+00:00'}",,,[],,
19,"""A"" Bail Bond Company, Incorporated",000-700-005,us_al,1970-11-05,1971-12-07,Domestic Corporation,http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000700005,,,True,Dissolved,2021-01-29T18:12:14+00:00,2024-08-01T05:35:09+00:00,2024-07-31T10:25:19+00:00,https://opencorporates.com/companies/us_al/000-700-005,[],[],"{'publisher': 'Alabama Secretary of State', 'url': 'http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000700005', 'retrieved_at': '2024-07-31T10:25:19+00:00'}",,,[],,
20,"""A"" Mobile Home Transporters, Inc.",000-190-908,us_al,1997-10-16,,Domestic Corporation,http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000190908,,,False,Exists,2014-08-30T22:49:04+00:00,2024-05-15T20:25:32+00:00,2024-05-15T14:57:20+00:00,https://opencorporates.com/companies/us_al/000-190-908,[],[],"{'publisher': 'Alabama Secretary of State', 'url': 'http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000190908', 'retrieved_at': '2024-05-15T14:57:20+00:00'}",,,[],,
21,"""A"" Ms. Mary Taxi Service LLC",000-300-247,us_al,2010-07-30,,Domestic Limited Liability Company,http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000300247,,,False,Exists,2014-08-31T03:05:05+00:00,2024-06-05T03:38:10+00:00,2024-06-04T08:20:29+00:00,https://opencorporates.com/companies/us_al/000-300-247,[],[],"{'publisher': 'Alabama Secretary of State', 'url': 'http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000300247', 'retrieved_at': '2024-06-04T08:20:29+00:00'}",,,[],,
22,"""A"" Plus Cleaning & Restoration, Inc.",000-192-429,us_al,1998-01-08,,Domestic Corporation,http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000192429,,,False,Exists,2014-08-30T22:51:32+00:00,2024-07-13T21:57:30+00:00,2024-05-15T16:21:40+00:00,https://opencorporates.com/companies/us_al/000-192-429,[],[],"{'publisher': 'Alabama Secretary of State', 'url': 'http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000192429', 'retrieved_at': '2024-05-15T16:21:40+00:00'}",,,[],,
23,"""A"" Plus Realty, L.L.C.",000-422-661,us_al,2008-07-17,,Domestic Limited Liability Company,http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000422661,,,False,Exists,2015-06-20T16:57:07+00:00,2024-06-20T05:24:26+00:00,2024-06-19T14:26:44+00:00,https://opencorporates.com/companies/us_al/000-422-661,[],[],"{'publisher': 'Alabama Secretary of State', 'url': 'http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000422661', 'retrieved_at': '2024-06-19T14:26:44+00:00'}",,,[],,
24,"""A"" Thrift Sales, L.L.C.",000-693-443,us_al,2003-09-10,2005-04-12,Domestic Limited Liability Company,http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000693443,,,True,Dissolved,2015-06-21T17:17:23+00:00,2024-07-31T04:53:09+00:00,2024-07-30T14:11:34+00:00,https://opencorporates.com/companies/us_al/000-693-443,[],[],"{'publisher': 'Alabama Secretary of State', 'url': 'http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000693443', 'retrieved_at': '2024-07-30T14:11:34+00:00'}",,,[],,
25,"""A"" xcellence Tutorial, LLC",000-410-637,us_al,2007-10-04,,Domestic Limited Liability Company,http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000410637,,,False,Exists,2015-06-20T16:00:20+00:00,2024-06-18T03:31:11+00:00,2024-06-17T12:39:52+00:00,https://opencorporates.com/companies/us_al/000-410-637,[],[],"{'publisher': 'Alabama Secretary of State', 'url': 'http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000410637', 'retrieved_at': '2024-06-17T12:39:52+00:00'}",,,[],,
26,"""ABC"" ALL BASES COVERED COMMERCIAL CLEANING AND SANITIZING COMPANY, LLC",000-880-044,us_al,2021-08-25,,Domestic Limited Liability Company,http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000880044,,,False,Exists,2021-08-26T12:40:19+00:00,2024-09-07T01:53:43+00:00,2024-09-06T11:09:02+00:00,https://opencorporates.com/companies/us_al/000-880-044,[],[],"{'publisher': 'Alabama Secretary of State', 'url': 'http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000880044', 'retrieved_at': '2024-09-06T11:09:02+00:00'}",,,[],,
27,"""AG-ANALYSIS, INC.""",000-892-398,us_al,1989-03-29,,Foreign Corporation,http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000892398,F,branch of an out-of-jurisdiction company,True,Withdrawn,2021-01-29T14:33:24+00:00,2024-09-20T06:07:05+00:00,2024-09-19T12:57:17+00:00,https://opencorporates.com/companies/us_al/000-892-398,[],[],"{'publisher': 'Alabama Secretary of State', 'url': 'http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000892398', 'retrieved_at': '2024-09-19T12:57:17+00:00'}",,,[],,
28,"""AIP Corp""",000-298-374,us_al,2014-03-10,,Domestic Corporation,http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000298374,,,False,Exists,2014-08-31T02:58:12+00:00,2024-06-04T05:09:31+00:00,2024-06-03T16:30:34+00:00,https://opencorporates.com/companies/us_al/000-298-374,[],[],"{'publisher': 'Alabama Secretary of State', 'url': 'http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000298374', 'retrieved_at': '2024-06-03T16:30:34+00:00'}",,,[],,
29,"""AMERIPLAN, INC.""",000-706-902,us_al,1976-06-29,,Domestic Corporation,http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000706902,,,False,Exists,2021-01-29T19:28:31+00:00,2024-08-01T05:31:12+00:00,2024-07-31T17:05:55+00:00,https://opencorporates.com/companies/us_al/000-706-902,[],[],"{'publisher': 'Alabama Secretary of State', 'url': 'http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000706902', 'retrieved_at': '2024-07-31T17:05:55+00:00'}",,,[],,
30,"""ARC"" (Awakening Respect and Compassion for all Sentient Beings)",000-323-353,us_al,2014-12-03,,Domestic Non-Profit Corporation,http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000323353,,,False,Exists,2015-06-11T12:02:40+00:00,2024-06-07T03:04:27+00:00,2024-06-06T10:14:44+00:00,https://opencorporates.com/companies/us_al/000-323-353,[],[],"{'publisher': 'Alabama Secretary of State', 'url': 'http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000323353', 'retrieved_at': '2024-06-06T10:14:44+00:00'}",,,[],,
31,"""Abe & Jim Service"" Incorporated",000-700-613,us_al,1959-06-30,1968-10-08,Domestic Corporation,http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000700613,,,True,Dissolved,2021-01-29T18:19:51+00:00,2024-08-01T05:41:15+00:00,2024-07-31T11:00:36+00:00,https://opencorporates.com/companies/us_al/000-700-613,[],[],"{'publisher': 'Alabama Secretary of State', 'url': 'http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000700613', 'retrieved_at': '2024-07-31T11:00:36+00:00'}",,,[],,
32,"""Aharas Chesed""",000-701-649,us_al,1894-10-19,,Domestic Non-Profit Corporation,http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000701649,,,False,Exists,2021-01-29T18:31:00+00:00,2024-08-01T05:49:05+00:00,2024-07-31T12:00:27+00:00,https://opencorporates.com/companies/us_al/000-701-649,[],[],"{'publisher': 'Alabama Secretary of State', 'url': 'http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000701649', 'retrieved_at': '2024-07-31T12:00:27+00:00'}",,,[],,
33,"""Alabama Fresh"", Inc.",000-258-602,us_al,2008-08-06,,Domestic Corporation,http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000258602,,,False,Exists,2014-08-31T00:42:17+00:00,2024-05-26T02:56:21+00:00,2024-05-25T08:52:29+00:00,https://opencorporates.com/companies/us_al/000-258-602,[],[],"{'publisher': 'Alabama Secretary of State', 'url': 'http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000258602', 'retrieved_at': '2024-05-25T08:52:29+00:00'}",,,[],,
34,"""All American"" Smoothies LLC",000-471-194,us_al,2005-11-07,,Domestic Limited Liability Company,http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000471194,,,False,Exists,2015-06-20T21:54:08+00:00,2024-06-29T02:31:24+00:00,2024-06-28T10:47:29+00:00,https://opencorporates.com/companies/us_al/000-471-194,[],[],"{'publisher': 'Alabama Secretary of State', 'url': 'http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000471194', 'retrieved_at': '2024-06-28T10:47:29+00:00'}",,,[],,
35,"""All Seasons"" Air Conditioning and Refrigeration Services, Inc.",000-112-842,us_al,1986-09-19,,Domestic Corporation,http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000112842,,,False,Exists,2014-08-30T20:46:28+00:00,2024-05-05T05:45:23+00:00,2024-05-04T12:09:14+00:00,https://opencorporates.com/companies/us_al/000-112-842,[],[],"{'publisher': 'Alabama Secretary of State', 'url': 'http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000112842', 'retrieved_at': '2024-05-04T12:09:14+00:00'}",,,[],,
36,"""Allie See Hotel""",000-705-185,us_al,1890-03-08,2007-01-12,Domestic Corporation,http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000705185,,,True,Dissolved,2021-01-29T19:06:11+00:00,2024-08-01T05:49:12+00:00,2024-07-31T15:25:37+00:00,https://opencorporates.com/companies/us_al/000-705-185,[],[],"{'publisher': 'Alabama Secretary of State', 'url': 'http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000705185', 'retrieved_at': '2024-07-31T15:25:37+00:00'}",,,[],,
37,"""Always There"" In-Home Care, Inc.",000-207-400,us_al,2000-01-05,,Domestic Corporation,http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000207400,,,False,Exists,2014-08-30T23:14:45+00:00,2024-05-18T03:07:13+00:00,2024-05-17T10:18:49+00:00,https://opencorporates.com/companies/us_al/000-207-400,"[{'company_name': '""Almost Family"" In-Home Care, Inc.', 'end_date': '2000-03-02'}]",[],"{'publisher': 'Alabama Secretary of State', 'url': 'http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000207400', 'retrieved_at': '2024-05-17T10:18:49+00:00'}",,,[],,
38,"""Always There"" In-Home Care-Tuscaloosa, LLC",000-683-856,us_al,2002-07-30,,Domestic Limited Liability Company,http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000683856,,,False,Exists,2015-06-21T16:45:40+00:00,2024-07-29T05:01:18+00:00,2024-07-28T15:07:07+00:00,https://opencorporates.com/companies/us_al/000-683-856,[],[],"{'publisher': 'Alabama Secretary of State', 'url': 'http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000683856', 'retrieved_at': '2024-07-28T15:07:07+00:00'}",,,[],,
39,"""Arrive In Style"" Limousine Service, LLC",000-276-255,us_al,2013-02-13,2015-03-03,Domestic Limited Liability Company,http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000276255,,,True,Dissolved,2014-08-31T01:28:27+00:00,2024-05-28T21:14:28+00:00,2024-05-28T15:18:57+00:00,https://opencorporates.com/companies/us_al/000-276-255,[],[],"{'publisher': 'Alabama Secretary of State', 'url': 'http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000276255', 'retrieved_at': '2024-05-28T15:18:57+00:00'}",,,[],,
40,"""Atmore Rick"" and ""Johnny the Scorpion"" - Billiard Events LLC",000-520-662,us_al,2018-06-08,,Domestic Limited Liability Company,http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000520662,,,False,Exists,2018-06-24T19:10:30+00:00,2024-07-06T03:03:42+00:00,2024-07-05T08:14:30+00:00,https://opencorporates.com/companies/us_al/000-520-662,[],[],"{'publisher': 'Alabama Secretary of State', 'url': 'http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000520662', 'retrieved_at': '2024-07-05T08:14:30+00:00'}",,,[],,
41,"""Auto Grotto"" Inc.",000-709-953,us_al,1924-05-02,,Domestic Corporation,http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000709953,,,False,Exists,2021-01-29T20:09:00+00:00,2024-08-03T05:05:41+00:00,2024-08-02T10:14:37+00:00,https://opencorporates.com/companies/us_al/000-709-953,[],[],"{'publisher': 'Alabama Secretary of State', 'url': 'http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000709953', 'retrieved_at': '2024-08-02T10:14:37+00:00'}",,,[],,
42,"""Automatic"" Sprinkler Corporation of America",000-718-766,us_al,1949-09-30,,Foreign Corporation,http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000718766,F,branch of an out-of-jurisdiction company,True,Withdrawn,2021-01-29T21:49:57+00:00,2024-08-05T06:01:50+00:00,2024-08-04T08:28:06+00:00,https://opencorporates.com/companies/us_al/000-718-766,"[{'company_name': '""Automatic"" Sprinkler Company of America', 'end_date': '1949-10-27'}, {'company_name': 'Automatic Sprinkler Corporation of America', 'end_date': '1949-12-02'}]",[],"{'publisher': 'Alabama Secretary of State', 'url': 'http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000718766', 'retrieved_at': '2024-08-04T08:28:06+00:00'}",,,[],,
44,"""B"" Graphics, Inc.",000-100-098,us_al,1984-09-19,,Domestic Corporation,http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000100098,,,False,Exists,2014-08-30T20:24:54+00:00,2024-05-04T05:40:56+00:00,2024-05-03T10:18:27+00:00,https://opencorporates.com/companies/us_al/000-100-098,[],[],"{'publisher': 'Alabama Secretary of State', 'url': 'http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000100098', 'retrieved_at': '2024-05-03T10:18:27+00:00'}",,,[],,
45,"""B"" Plumbing Service, Inc.",000-710-558,us_al,1967-02-24,1979-05-30,Domestic Corporation,http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000710558,,,True,Dissolved,2021-01-29T20:17:06+00:00,2024-08-03T04:53:05+00:00,2024-08-02T10:48:39+00:00,https://opencorporates.com/companies/us_al/000-710-558,[],[],"{'publisher': 'Alabama Secretary of State', 'url': 'http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000710558', 'retrieved_at': '2024-08-02T10:48:39+00:00'}",,,[],,
46,"""B"" Sharp, Inc.",000-159-705,us_al,1993-09-28,,Domestic Corporation,http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000159705,,,False,Exists,2014-08-30T22:00:25+00:00,2024-05-11T05:28:14+00:00,2024-05-10T15:39:45+00:00,https://opencorporates.com/companies/us_al/000-159-705,[],[],"{'publisher': 'Alabama Secretary of State', 'url': 'http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000159705', 'retrieved_at': '2024-05-10T15:39:45+00:00'}",,,[],,
47,"""BUZZ KILL, LLC""",000-073-826,us_al,2012-08-27,,Domestic Limited Liability Company,http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000073826,,,False,Exists,2015-06-19T18:13:35+00:00,2024-04-30T05:07:39+00:00,2024-04-29T15:39:42+00:00,https://opencorporates.com/companies/us_al/000-073-826,[],[],"{'publisher': 'Alabama Secretary of State', 'url': 'http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000073826', 'retrieved_at': '2024-04-29T15:39:42+00:00'}",,,[],,
48,"""Batter Up"", Limited Liability Company",000-695-532,us_al,2003-12-04,2010-12-28,Domestic Limited Liability Company,http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000695532,,,True,Dissolved,2015-06-21T17:24:09+00:00,2024-07-31T04:50:31+00:00,2024-07-30T16:11:07+00:00,https://opencorporates.com/companies/us_al/000-695-532,[],[],"{'publisher': 'Alabama Secretary of State', 'url': 'http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000695532', 'retrieved_at': '2024-07-30T16:11:07+00:00'}",,,[],,
49,"""Be the Vision"" Ministries",000-357-773,us_al,2016-03-29,,Domestic Non-Profit Corporation,http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000357773,,,False,Exists,2016-05-21T16:17:21+00:00,2024-06-11T03:20:36+00:00,2024-06-10T12:18:52+00:00,https://opencorporates.com/companies/us_al/000-357-773,[],[],"{'publisher': 'Alabama Secretary of State', 'url': 'http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000357773', 'retrieved_at': '2024-06-10T12:18:52+00:00'}",,,[],,
50,"""Bell's Walk-Over Boot Shops, Inc.""",000-714-279,us_al,1920-06-21,1930-10-10,Domestic Corporation,http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000714279,,,True,Dissolved,2021-01-29T21:03:31+00:00,2024-10-08T15:46:06+00:00,2024-08-02T14:21:16+00:00,https://opencorporates.com/companies/us_al/000-714-279,[],[],"{'publisher': 'Alabama Secretary of State', 'url': 'http://arc-sos.state.al.us/cgi/corpdetail.mbr/detail?corp=000714279', 'retrieved_at': '2024-08-02T14:21:16+00:00'}",,,[],,
