name,company_number,jurisdiction_code,incorporation_date,dissolution_date,company_type,registry_url,branch,branch_status,inactive,current_status,created_at,updated_at,retrieved_at,opencorporates_url,previous_names,alternative_names,source,registered_address,registered_address_in_full,industry_codes,restricted_for_marketing,native_company_number
"1025 WEST NORTH TEMPLE, LLC",13865507-0160,us_ut,2024-03-05,,LLC - Domestic,https://secure.utah.gov/bes/index.html,,,FALSE,Active   Current,2024-05-09T21:13:56+00:00,2024-05-09T21:13:57+00:00,2024-05-01T00:00:00+00:00,https://opencorporates.com/companies/us_ut/13865507-0160,[],[],"{'publisher': 'Utah Department of Commerce', 'url': 'https://secure.utah.gov/bes/index.html', 'retrieved_at': '2024-05-01T00:00:00+00:00'}","{'street_address': '466 S 400 E, SUITE 200', 'locality': 'Salt Lake City', 'region': 'UT', 'postal_code': '84111', 'country': 'United States'}","466 S 400 E, SUITE 200, Salt Lake City, UT, 84111","[{'industry_code': {'code': '9999', 'description': None, 'code_scheme_id': 'us_naics_2007', 'code_scheme_name': 'North American Industry Classification System 2007', 'uid': 'us_naics_2007-9999'}}, {'industry_code': {'code': '99', 'description': 'Activities of extraterritorial organizations and bodies', 'code_scheme_id': 'isic_4', 'code_scheme_name': 'UN ISIC Rev 4', 'uid': 'isic_4-99'}}]",,
"1028 CANYON VISTA, LLC",13989039-0160,us_ut,2024-05-14,,LLC - Domestic,https://secure.utah.gov/bes/index.html,,,FALSE,Active   Current,2024-07-31T22:04:35+00:00,2024-07-31T22:04:36+00:00,2024-07-01T00:00:00+00:00,https://opencorporates.com/companies/us_ut/13989039-0160,[],[],"{'publisher': 'Utah Department of Commerce', 'url': 'https://secure.utah.gov/bes/index.html', 'retrieved_at': '2024-07-01T00:00:00+00:00'}","{'street_address': '8060 JUNIPER DR', 'locality': 'Park City', 'region': 'UT', 'postal_code': '84098', 'country': 'United States'}","8060 JUNIPER DR, Park City, UT, 84098","[{'industry_code': {'code': '9999', 'description': None, 'code_scheme_id': 'us_naics_2007', 'code_scheme_name': 'North American Industry Classification System 2007', 'uid': 'us_naics_2007-9999'}}, {'industry_code': {'code': '99', 'description': 'Activities of extraterritorial organizations and bodies', 'code_scheme_id': 'isic_4', 'code_scheme_name': 'UN ISIC Rev 4', 'uid': 'isic_4-99'}}]",,
"1028 DENNER STREET INDUSTRIES, LLC",13931055-0160,us_ut,2024-04-11,,LLC - Domestic,https://secure.utah.gov/bes/index.html,,,FALSE,Active   Current,2024-06-19T18:48:47+00:00,2024-06-19T18:48:48+00:00,2024-06-01T00:00:00+00:00,https://opencorporates.com/companies/us_ut/13931055-0160,[],[],"{'publisher': 'Utah Department of Commerce', 'url': 'https://secure.utah.gov/bes/index.html', 'retrieved_at': '2024-06-01T00:00:00+00:00'}","{'street_address': '8856 ALMEN A DR', 'locality': 'Kalamazoo', 'region': 'MI', 'postal_code': '490097911', 'country': 'United States'}","8856 ALMEN A DR, Kalamazoo, MI, 490097911","[{'industry_code': {'code': '9999', 'description': None, 'code_scheme_id': 'us_naics_2007', 'code_scheme_name': 'North American Industry Classification System 2007', 'uid': 'us_naics_2007-9999'}}, {'industry_code': {'code': '99', 'description': 'Activities of extraterritorial organizations and bodies', 'code_scheme_id': 'isic_4', 'code_scheme_name': 'UN ISIC Rev 4', 'uid': 'isic_4-99'}}]",,
"1030A, LLC",13917686-0160,us_ut,2024-04-03,,LLC - Domestic,https://secure.utah.gov/bes/index.html,,,FALSE,Active   Current,2024-06-19T18:44:22+00:00,2024-06-19T18:44:23+00:00,2024-06-01T00:00:00+00:00,https://opencorporates.com/companies/us_ut/13917686-0160,[],[],"{'publisher': 'Utah Department of Commerce', 'url': 'https://secure.utah.gov/bes/index.html', 'retrieved_at': '2024-06-01T00:00:00+00:00'}","{'street_address': ' ', 'locality': 'Salt Lake City', 'region': 'UT', 'postal_code': '84108', 'country': 'United States'}","Salt Lake City, UT, 84108","[{'industry_code': {'code': '9999', 'description': None, 'code_scheme_id': 'us_naics_2007', 'code_scheme_name': 'North American Industry Classification System 2007', 'uid': 'us_naics_2007-9999'}}, {'industry_code': {'code': '99', 'description': 'Activities of extraterritorial organizations and bodies', 'code_scheme_id': 'isic_4', 'code_scheme_name': 'UN ISIC Rev 4', 'uid': 'isic_4-99'}}]",,
"03MRCTR, LLC",13765363-0160,us_ut,2024-01-05,,LLC - Domestic,https://secure.utah.gov/bes/index.html,,,FALSE,Active   Current,2024-03-22T23:33:16+00:00,2024-03-22T23:33:17+00:00,2024-03-01T00:00:00+00:00,https://opencorporates.com/companies/us_ut/13765363-0160,[],[],"{'publisher': 'Utah Department of Commerce', 'url': 'https://secure.utah.gov/bes/index.html', 'retrieved_at': '2024-03-01T00:00:00+00:00'}","{'street_address': '1337 East 750 North', 'locality': 'Orem', 'region': 'UT', 'postal_code': '84097', 'country': 'United States'}","1337 East 750 North, Orem, UT, 84097","[{'industry_code': {'code': '8141', 'description': 'Private Households', 'code_scheme_id': 'us_naics_2007', 'code_scheme_name': 'North American Industry Classification System 2007', 'uid': 'us_naics_2007-8141'}}]",,
"08MRCTR, LLC",13765379-0160,us_ut,2024-01-05,,LLC - Domestic,https://secure.utah.gov/bes/index.html,,,FALSE,Active   Current,2024-03-22T23:33:17+00:00,2024-03-22T23:33:18+00:00,2024-03-01T00:00:00+00:00,https://opencorporates.com/companies/us_ut/13765379-0160,[],[],"{'publisher': 'Utah Department of Commerce', 'url': 'https://secure.utah.gov/bes/index.html', 'retrieved_at': '2024-03-01T00:00:00+00:00'}","{'street_address': '1337 East 750 North', 'locality': 'Orem', 'region': 'UT', 'postal_code': '84097', 'country': 'United States'}","1337 East 750 North, Orem, UT, 84097","[{'industry_code': {'code': '8141', 'description': 'Private Households', 'code_scheme_id': 'us_naics_2007', 'code_scheme_name': 'North American Industry Classification System 2007', 'uid': 'us_naics_2007-8141'}}]",,
"""I TOO MUST GIVE"" CHARITABLE FOUNDATION",13811181-0140,us_ut,2024-02-01,,Corporation - Domestic - Non-Profit,https://secure.utah.gov/bes/index.html,,,FALSE,Active   Current,2024-04-08T19:03:11+00:00,2024-04-08T19:03:13+00:00,2024-04-01T00:00:00+00:00,https://opencorporates.com/companies/us_ut/13811181-0140,[],[],"{'publisher': 'Utah Department of Commerce', 'url': 'https://secure.utah.gov/bes/index.html', 'retrieved_at': '2024-04-01T00:00:00+00:00'}","{'street_address': '1619 Canyon Oaks Cir.', 'locality': 'Bountiful', 'region': 'UT', 'postal_code': '84010', 'country': 'United States'}","1619 Canyon Oaks Cir., Bountiful, UT, 84010","[{'industry_code': {'code': '813990', 'description': 'Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)', 'code_scheme_id': 'us_naics_2007', 'code_scheme_name': 'North American Industry Classification System 2007', 'uid': 'us_naics_2007-813990'}}, {'industry_code': {'code': '94', 'description': 'Activities of membership organizations', 'code_scheme_id': 'isic_4', 'code_scheme_name': 'UN ISIC Rev 4', 'uid': 'isic_4-94'}}]",,
"""P.K. CLARK DENTAL FOUNDATION""",13977275-0140,us_ut,2024-05-07,,Corporation - Domestic - Non-Profit,https://secure.utah.gov/bes/index.html,,,FALSE,Active   Current,2024-07-31T22:01:19+00:00,2024-07-31T22:01:20+00:00,2024-07-01T00:00:00+00:00,https://opencorporates.com/companies/us_ut/13977275-0140,[],[],"{'publisher': 'Utah Department of Commerce', 'url': 'https://secure.utah.gov/bes/index.html', 'retrieved_at': '2024-07-01T00:00:00+00:00'}","{'street_address': '1520 PALOMINO CIR', 'locality': 'Heber City', 'region': 'UT', 'postal_code': '84032', 'country': 'United States'}","1520 PALOMINO CIR, Heber City, UT, 84032","[{'industry_code': {'code': '8132', 'description': 'Grantmaking and Giving Services', 'code_scheme_id': 'us_naics_2007', 'code_scheme_name': 'North American Industry Classification System 2007', 'uid': 'us_naics_2007-8132'}}]",,
1073 RENTALS LLC,582767,us_wv,2024-07-15,,Limited Liability Company (Domestic Profit),http://apps.sos.wv.gov/business/corporations/organization.aspx?org=582767,,,,,2024-07-16T01:10:42+00:00,2024-10-24T06:06:08+00:00,2024-10-24T02:30:17+00:00,https://opencorporates.com/companies/us_wv/582767,[],[],"{'publisher': 'West Virginia Secretary of State', 'url': 'http://apps.sos.wv.gov/business/corporations/organization.aspx?org=582767', 'retrieved_at': '2024-10-24T02:30:17+00:00'}","{'street_address': '1309 COFFEEN AVE STE 1200, SHERIDAN, WY, 82801', 'locality': None, 'region': None, 'postal_code': None, 'country': 'United States'}","1309 COFFEEN AVE STE 1200, SHERIDAN, WY, 82801","[{'industry_code': {'code': '8129', 'description': 'Other Personal Services', 'code_scheme_id': 'us_naics_2007', 'code_scheme_name': 'North American Industry Classification System 2007', 'uid': 'us_naics_2007-8129'}}]",,
1210 GREENMONT CIR LLC,584954,us_wv,2024-08-08,,Limited Liability Company (Domestic Profit),http://apps.sos.wv.gov/business/corporations/organization.aspx?org=584954,,,,,2024-08-19T05:04:47+00:00,2024-11-03T06:12:14+00:00,2024-11-01T03:48:24+00:00,https://opencorporates.com/companies/us_wv/584954,[],[],"{'publisher': 'West Virginia Secretary of State', 'url': 'http://apps.sos.wv.gov/business/corporations/organization.aspx?org=584954', 'retrieved_at': '2024-11-01T03:48:24+00:00'}","{'street_address': '1309 COFFEEN AVE STE 1200, SHERIDAN, WY, 82801', 'locality': None, 'region': None, 'postal_code': None, 'country': 'United States'}","1309 COFFEEN AVE STE 1200, SHERIDAN, WY, 82801","[{'industry_code': {'code': '8129', 'description': 'Other Personal Services', 'code_scheme_id': 'us_naics_2007', 'code_scheme_name': 'North American Industry Classification System 2007', 'uid': 'us_naics_2007-8129'}}]",,
152 OAKWOOD ESTATES LLC,587716,us_wv,2024-10-02,,Limited Liability Company (Domestic Profit),http://apps.sos.wv.gov/business/corporations/organization.aspx?org=587716,,,,,2024-10-03T01:10:34+00:00,2024-11-21T07:01:11+00:00,2024-11-21T01:49:30+00:00,https://opencorporates.com/companies/us_wv/587716,[],[],"{'publisher': 'West Virginia Secretary of State', 'url': 'http://apps.sos.wv.gov/business/corporations/organization.aspx?org=587716', 'retrieved_at': '2024-11-21T01:49:30+00:00'}","{'street_address': '1309 COFFEEN AVE STE 1200, SHERIDAN, WY, 82801', 'locality': None, 'region': None, 'postal_code': None, 'country': 'United States'}","1309 COFFEEN AVE STE 1200, SHERIDAN, WY, 82801","[{'industry_code': {'code': '8129', 'description': 'Other Personal Services', 'code_scheme_id': 'us_naics_2007', 'code_scheme_name': 'North American Industry Classification System 2007', 'uid': 'us_naics_2007-8129'}}]",,
1 SOURCE MATERIAL HANDLING LLC,14093176-0160,us_ut,2024-07-18,,LLC - Domestic,https://secure.utah.gov/bes/index.html,,,FALSE,Active   Current,2024-09-06T13:58:15+00:00,2024-09-06T13:58:16+00:00,2024-08-01T00:00:00+00:00,https://opencorporates.com/companies/us_ut/14093176-0160,[],[],"{'publisher': 'Utah Department of Commerce', 'url': 'https://secure.utah.gov/bes/index.html', 'retrieved_at': '2024-08-01T00:00:00+00:00'}","{'street_address': '1781 COUNTY CANYON DR', 'locality': 'Saint George', 'region': 'UT', 'postal_code': '84790', 'country': 'United States'}","1781 COUNTY CANYON DR, Saint George, UT, 84790","[{'industry_code': {'code': '8113', 'description': 'Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance', 'code_scheme_id': 'us_naics_2007', 'code_scheme_name': 'North American Industry Classification System 2007', 'uid': 'us_naics_2007-8113'}}]",,
OHANA COUNSELING LLC,13986999-0160,us_ut,2024-05-14,,LLC - Domestic,https://secure.utah.gov/bes/index.html,,,FALSE,Active   Current,2024-07-31T22:04:10+00:00,2024-07-31T22:04:11+00:00,2024-07-01T00:00:00+00:00,https://opencorporates.com/companies/us_ut/13986999-0160,[],[],"{'publisher': 'Utah Department of Commerce', 'url': 'https://secure.utah.gov/bes/index.html', 'retrieved_at': '2024-07-01T00:00:00+00:00'}","{'street_address': '372 W Marquette Dr', 'locality': 'Midvale', 'region': 'UT', 'postal_code': '84047', 'country': 'United States'}","372 W Marquette Dr, Midvale, UT, 84047","[{'industry_code': {'code': '6241', 'description': 'Individual and Family Services', 'code_scheme_id': 'us_naics_2007', 'code_scheme_name': 'North American Industry Classification System 2007', 'uid': 'us_naics_2007-6241'}}]",,
1 PRIORITY NUTRITION LLC,13754617-0160,us_ut,2024-02-08,,LLC - Domestic,https://secure.utah.gov/bes/index.html,,,FALSE,Active   Current,2024-04-08T18:58:57+00:00,2024-04-08T18:58:58+00:00,2024-04-01T00:00:00+00:00,https://opencorporates.com/companies/us_ut/13754617-0160,[],[],"{'publisher': 'Utah Department of Commerce', 'url': 'https://secure.utah.gov/bes/index.html', 'retrieved_at': '2024-04-01T00:00:00+00:00'}","{'street_address': '192 daisyfield drive', 'locality': 'draper', 'region': 'UT', 'postal_code': '84070', 'country': 'United States'}","192 daisyfield drive, draper, UT, 84070","[{'industry_code': {'code': '611710', 'description': 'Educational Support Services', 'code_scheme_id': 'us_naics_2007', 'code_scheme_name': 'North American Industry Classification System 2007', 'uid': 'us_naics_2007-611710'}}, {'industry_code': {'code': '8550', 'description': 'Educational support activities', 'code_scheme_id': 'isic_4', 'code_scheme_name': 'UN ISIC Rev 4', 'uid': 'isic_4-8550'}}]",,
"""JUST SHOW UP"" MUSIC LESSONS LLC",13934441-0160,us_ut,2024-04-15,,LLC - Domestic,https://secure.utah.gov/bes/index.html,,,FALSE,Active   Current,2024-06-19T18:50:19+00:00,2024-06-19T18:50:21+00:00,2024-06-01T00:00:00+00:00,https://opencorporates.com/companies/us_ut/13934441-0160,[],[],"{'publisher': 'Utah Department of Commerce', 'url': 'https://secure.utah.gov/bes/index.html', 'retrieved_at': '2024-06-01T00:00:00+00:00'}","{'street_address': '11251 State St., E103', 'locality': 'Sandy', 'region': 'UT', 'postal_code': '84070', 'country': 'United States'}","11251 State St., E103, Sandy, UT, 84070","[{'industry_code': {'code': '611699', 'description': 'All Other Miscellaneous Schools and Instruction', 'code_scheme_id': 'us_naics_2007', 'code_scheme_name': 'North American Industry Classification System 2007', 'uid': 'us_naics_2007-611699'}}, {'industry_code': {'code': '854', 'description': 'Other education', 'code_scheme_id': 'isic_4', 'code_scheme_name': 'UN ISIC Rev 4', 'uid': 'isic_4-854'}}]",,
"1,2,3 HAPPY REAL PLACE LLC",13816338-0160,us_ut,2024-02-05,,LLC - Domestic,https://secure.utah.gov/bes/index.html,,,FALSE,Active   Current,2024-04-08T19:05:59+00:00,2024-04-08T19:06:00+00:00,2024-04-01T00:00:00+00:00,https://opencorporates.com/companies/us_ut/13816338-0160,[],[],"{'publisher': 'Utah Department of Commerce', 'url': 'https://secure.utah.gov/bes/index.html', 'retrieved_at': '2024-04-01T00:00:00+00:00'}","{'street_address': '2963 W Current Creek Dr', 'locality': 'South Jordan', 'region': 'UT', 'postal_code': '84095', 'country': 'United States'}","2963 W Current Creek Dr, South Jordan, UT, 84095","[{'industry_code': {'code': '611430', 'description': 'Professional and Management Development Training', 'code_scheme_id': 'us_naics_2007', 'code_scheme_name': 'North American Industry Classification System 2007', 'uid': 'us_naics_2007-611430'}}, {'industry_code': {'code': '8549', 'description': 'Other education n.e.c.', 'code_scheme_id': 'isic_4', 'code_scheme_name': 'UN ISIC Rev 4', 'uid': 'isic_4-8549'}}]",,
"1031 MARKETING, LLC",14098163-0160,us_ut,2024-07-23,,LLC - Domestic,https://secure.utah.gov/bes/index.html,,,FALSE,Active   Current,2024-09-06T13:59:39+00:00,2024-09-06T13:59:39+00:00,2024-08-01T00:00:00+00:00,https://opencorporates.com/companies/us_ut/14098163-0160,[],[],"{'publisher': 'Utah Department of Commerce', 'url': 'https://secure.utah.gov/bes/index.html', 'retrieved_at': '2024-08-01T00:00:00+00:00'}","{'street_address': '1145 S 800 E, suite 110', 'locality': 'Orem', 'region': 'UT', 'postal_code': '84097', 'country': 'United States'}","1145 S 800 E, suite 110, Orem, UT, 84097","[{'industry_code': {'code': '5418', 'description': 'Advertising, Public Relations, and Related Services', 'code_scheme_id': 'us_naics_2007', 'code_scheme_name': 'North American Industry Classification System 2007', 'uid': 'us_naics_2007-5418'}}]",,
"""BRETT"" ER GOLFER, INC, THE",14101667-0142,us_ut,2024-07-25,,Corporation - Domestic - Profit,https://secure.utah.gov/bes/index.html,,,FALSE,Active   Current,2024-09-06T14:01:07+00:00,2024-09-06T14:01:08+00:00,2024-08-01T00:00:00+00:00,https://opencorporates.com/companies/us_ut/14101667-0142,[],[],"{'publisher': 'Utah Department of Commerce', 'url': 'https://secure.utah.gov/bes/index.html', 'retrieved_at': '2024-08-01T00:00:00+00:00'}","{'street_address': '1040 E 3800 S', 'locality': 'Washington', 'region': 'UT', 'postal_code': '84780', 'country': 'United States'}","1040 E 3800 S, Washington, UT, 84780","[{'industry_code': {'code': '54161', 'description': 'Management Consulting Services', 'code_scheme_id': 'us_naics_2007', 'code_scheme_name': 'North American Industry Classification System 2007', 'uid': 'us_naics_2007-54161'}}]",,
